epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.927,1.40625,2.11513,1.53996,0.53443,0.38032,0.43955,0.19078,1.70633,3.04818,1.83126,0.000548543,0.000548543,0.000548543
2,359.764,1.35085,1.54894,1.47607,0.57217,0.58275,0.56442,0.27712,1.62115,1.85906,1.76718,0.00106048,0.00106048,0.00106048
3,526.55,1.38574,1.46385,1.46349,0.54783,0.58706,0.53659,0.24959,1.71062,2.01311,1.91319,0.00152841,0.00152841,0.00152841
4,693.322,1.36461,1.36399,1.44899,0.84435,0.63536,0.74334,0.38039,1.5517,1.57443,1.67096,0.00146896,0.00146896,0.00146896
5,854.688,1.35483,1.30249,1.43781,0.71636,0.66717,0.75915,0.43308,1.46412,1.47231,1.69444,0.00140295,0.00140295,0.00140295
6,1041.49,1.3332,1.24771,1.42239,0.69345,0.76239,0.73579,0.39246,1.40012,1.38436,1.52971,0.00133693,0.00133693,0.00133693
7,1208.99,1.32336,1.2194,1.40935,0.74339,0.72259,0.78741,0.50077,1.23663,1.12926,1.39893,0.00127092,0.00127092,0.00127092
8,1398.4,1.25302,1.11273,1.36012,0.81434,0.75501,0.83022,0.51058,1.27866,1.12995,1.41509,0.00120491,0.00120491,0.00120491
9,1599.83,1.25069,1.1077,1.35614,0.85304,0.74701,0.8241,0.52077,1.27349,1.03252,1.42158,0.00113889,0.00113889,0.00113889
10,1803.13,1.23589,1.05752,1.35972,0.77331,0.74338,0.79898,0.48646,1.29445,1.07261,1.43545,0.00107288,0.00107288,0.00107288
11,2007.81,1.22757,1.02215,1.3408,0.83826,0.78128,0.84387,0.51307,1.25367,0.98522,1.38218,0.00100687,0.00100687,0.00100687
12,2178.73,1.21681,1.04019,1.34963,0.82113,0.8104,0.86122,0.54257,1.20551,0.93625,1.34261,0.000940855,0.000940855,0.000940855
13,2359.89,1.19407,0.98698,1.31334,0.88327,0.77762,0.86758,0.57248,1.16659,0.88214,1.32438,0.000874842,0.000874842,0.000874842
14,2528.56,1.17043,0.98182,1.3188,0.83236,0.80003,0.87446,0.56479,1.20668,0.90352,1.34963,0.000808828,0.000808828,0.000808828
15,2696.19,1.16336,0.95509,1.30786,0.8398,0.81998,0.86646,0.5639,1.17264,0.84793,1.32484,0.000742815,0.000742815,0.000742815
16,2860.99,1.096,0.92963,1.32036,0.79388,0.83582,0.8618,0.56884,1.16366,0.94965,1.31633,0.000676802,0.000676802,0.000676802
17,3027.6,1.06475,0.8424,1.28915,0.82446,0.85939,0.88822,0.57161,1.17482,0.83633,1.32548,0.000610789,0.000610789,0.000610789
18,3210.55,1.04972,0.80483,1.27856,0.83189,0.81244,0.88465,0.59147,1.13758,0.83787,1.29107,0.000544776,0.000544776,0.000544776
19,3379.49,1.03487,0.77835,1.26987,0.8476,0.81221,0.87377,0.59034,1.09396,0.81227,1.26089,0.000478762,0.000478762,0.000478762
20,3553.39,0.98444,0.73686,1.24837,0.87041,0.80224,0.87712,0.59303,1.07785,0.77432,1.2582,0.000412749,0.000412749,0.000412749
21,3716.42,0.96877,0.72321,1.23111,0.8323,0.84879,0.88891,0.60485,1.08649,0.77597,1.2622,0.000346736,0.000346736,0.000346736
22,3876.71,0.95904,0.71154,1.2191,0.88135,0.82842,0.90082,0.62345,1.06416,0.75039,1.24265,0.000280723,0.000280723,0.000280723
23,4038.85,0.94675,0.68611,1.20133,0.86706,0.83823,0.90089,0.62049,1.06825,0.7419,1.23269,0.00021471,0.00021471,0.00021471
24,4214.29,0.92795,0.66968,1.20292,0.86998,0.83243,0.9004,0.62389,1.03792,0.71885,1.21654,0.000148696,0.000148696,0.000148696
25,4378.38,0.92286,0.65461,1.20042,0.8627,0.84447,0.90263,0.63278,1.02649,0.71111,1.20851,8.26832e-05,8.26832e-05,8.26832e-05
